dr	sigc	etamaxC	dminC	etamaxE	dminE	stateparam	cond	dir	Mf	M	1.364	
33	100	1.337	-0.236	1.087	0	0.01221	D	C	1.244	N	0.79	
33	200	1.41	-0.25		0	-0.01221	D	C				1.2
33	400	1.33	-0.095		-0.147		D	C		d	eta	
50	100	1.401	-0.236	1.032		-0.01546	D	C	1.163	0.05	1.541226792	
50	200	1.355	-0.176	0.934	-0.1556	-0.0106	D	C	0.922	0.045	1.548928592	
50	400	1.352	0	0.956	-0.069	0.04456	D	C	1.35	0.04	1.556668878	
80	100	1.533	-0.438	1.03		-0.0327	D	C	1.095	0.035	1.564447845	
80	200	1.487	-0.248	1.046	-0.367	-0.0172	D	C	1.238	0.03	1.572265684	
80	400	1.432	-0.249		-0.285	-0.0129	D	C	1.194	0.025	1.580122591	
										0.02	1.58801876	
										0.015	1.595954388	
										0.01	1.603929672	
										0.005	1.611944809	
										0	1.62	
										-0.005	1.628095444	
										-0.01	1.636231343	
										-0.015	1.644407898	
										-0.02	1.652625313	
										-0.025	1.660883791	
										-0.03	1.669183539	
										-0.035	1.677524763	
										-0.04	1.685907669	
										-0.045	1.694332466	
